"Artwork","CulturalPhenomenon","Type"
"http://icondataset.org/ART1142","http://icondataset.org/CF1242","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1143","http://icondataset.org/CF1242","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1143","http://icondataset.org/CF1242","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1147","http://icondataset.org/CF1242","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1147","http://icondataset.org/CF1242","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1240","http://icondataset.org/CF1242","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1240","http://icondataset.org/CF1242","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1005","http://icondataset.org/CF1122","http://icondataset.org/iconographical-evolution"
"http://icondataset.org/ART1006","http://icondataset.org/CF1366","http://icondataset.org/cultural-influence"
"http://icondataset.org/ART1007","http://icondataset.org/CF1365","http://icondataset.org/iconographical-evolution"
"http://icondataset.org/ART1007","http://icondataset.org/CF1365","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1008test","http://icondataset.org/CF1310","http://icondataset.org/belief"
"http://icondataset.org/ART1009test","http://icondataset.org/CF1310","http://icondataset.org/belief"
"http://icondataset.org/ART1010","http://icondataset.org/CF1031","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1036","http://icondataset.org/CF1031","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1013test","http://icondataset.org/CF1049","http://icondataset.org/belief"
"http://icondataset.org/ART1014test","http://icondataset.org/CF1049","http://icondataset.org/belief"
"http://icondataset.org/ART1014","http://icondataset.org/CF1260","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1015","http://icondataset.org/CF1162","http://icondataset.org/iconographical-influence"
"http://icondataset.org/ART1016","http://icondataset.org/CF1162","http://icondataset.org/iconographical-influence"
"http://icondataset.org/ART1024","http://icondataset.org/CF1162","http://icondataset.org/iconographical-influence"
"http://icondataset.org/ART1145","http://icondataset.org/CF1162","http://icondataset.org/iconographical-influence"
"http://icondataset.org/ART1016","http://icondataset.org/CF1017","http://icondataset.org/cultural-influence"
"http://icondataset.org/ART1017","http://icondataset.org/CF1017","http://icondataset.org/cultural-influence"
"http://icondataset.org/ART1024","http://icondataset.org/CF1017","http://icondataset.org/cultural-influence"
"http://icondataset.org/ART1145","http://icondataset.org/CF1017","http://icondataset.org/cultural-influence"
"http://icondataset.org/ART1017","http://icondataset.org/CF1018","http://icondataset.org/cultural-influence"
"http://icondataset.org/ART1017","http://icondataset.org/CF1215","http://icondataset.org/attitude"
"http://icondataset.org/ART1031","http://icondataset.org/CF1215","http://icondataset.org/attitude"
"http://icondataset.org/ART1017","http://icondataset.org/CF1045","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1018","http://icondataset.org/CF1045","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1020","http://icondataset.org/CF1045","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1017","http://icondataset.org/CF1046","http://icondataset.org/cultural-reinterpretation"
"http://icondataset.org/ART1018","http://icondataset.org/CF1046","http://icondataset.org/cultural-reinterpretation"
"http://icondataset.org/ART1020","http://icondataset.org/CF1046","http://icondataset.org/cultural-reinterpretation"
"http://icondataset.org/ART1018","http://icondataset.org/CF1079","http://icondataset.org/cultural-reinterpretation"
"http://icondataset.org/ART1018","http://icondataset.org/CF1079","http://icondataset.org/reception-of-classical-antiquity"
